# data for vertical momement of 10t 40' containers as a function of >10t 40' containers stowed below.
# break in data start a new line
# format num 10t, num >10t, vertical moment (mt)

# 0 >10t
0  0 0 
10 0 300
20 0 800
30 0 1500
40 0 2400
50 0 3500
60 0 4800
70 0 6300
80 0 8000

# 10 >10t
0  10 0 
10 10 500
20 10 1200
30 10 2100
40 10 3200
50 10 4500
60 10 6000
70 10 7700

# 20 >10t
0  20 0 
10 20 700
20 20 1600
30 20 2700
40 20 4000
50 20 5500
60 20 7200

# 30 >10t
0  30 0 
10 30 900
20 30 2000
30 30 3300
40 30 4800
50 30 6500

# 40 >10t
0  40 0 
10 40 1100
20 40 2400
30 40 3900
40 40 5600

# 50 >10t
0  50 0 
10 50 1300
20 50 2800
30 50 4500

# 60 >10t
0  60 0 
10 60 1500
20 60 3200

# 70 >10t
0  70 0 
10 70 1700

#connect in other dir
0 0  0
0 10 0
0 20 0
0 30 0
0 40 0
0 50 0
0 60 0
0 70 0
0 80 0

10 0  300
10 10 500
10 20 700
10 30 900
10 40 1100
10 50 1300
10 60 1500
10 70 1700

20 0  800
20 10 1200
20 20 1600
20 30 2000
20 40 2400
20 50 2800
20 60 3200

30 0  1500
30 10 2100
30 20 2700
30 30 3300
30 40 3900
30 50 4500

40 0  2400
40 10 3200
40 20 4000
40 30 4500
40 40 5600

50 0  3500
50 10 4500
50 20 5600
50 30 6500

60 0  4800
60 10 6000
60 20 7200

70 0  6300
70 10 7700
