#SCM values                                         Real       

#13 secs  sf            bm
167.2960002       -3.349274143      0.644089888
139.595 -51.41547129      8.812762186
110.505 -84.83947264      30.15553251
80.975   -95.50854836      58.83226034
51.44     -82.655136          87.16645315
21.91     -48.20605971      107.9743762
-7.625    -6.998874429      116.753798
-46.08399981      30.85987757       111.8124935
-74.09    51.35268729       99.41472865
-103.305               98.28400757       75.8751507
-132.48 112.5565766       42.7529044
-161.485               75.74728436       13.34346918
