#SCM values                                         Real       

# 26 sections
#place              sf            bm         sf            bm
154         -29.58759064      3.427973952       -23.88714286      1.557453846
139.595 -51.31134514      9.702932151       -43.78571429      6.580892308
125.14   -70.93912307      19.21824881       -66.04071429      15.86951538
110.505 -84.63640564      31.47819594       -82.97071429      25.99607692
95.74     -93.07118379      45.6066334          -87.28857143      39.26452308
80.975   -95.19126493      60.57422204       -95.67071429      54.16513077
66.205   -91.51741993      75.42329833       -90.15714286      68.62241538
51.44     -82.23155421      89.23701212       -94.87071429      83.80766923
36.675   -67.31257629      101.1263473       -69.18357143      95.62657692
21.91     -47.70595993      110.270769          -57.95142857      106.2582308
7.145     -25.25626543      116.0715427       -33.27642857      113.6038462
-7.625    -6.466892143      118.5944408       -12.95285714      117.7597385
-74.09    51.76891157       101.8543625       54.17571429       106.0509
-88.695 77.9389785          91.65384145       82.21428571       95.42707692
-103.305               98.57109021       77.76792606       104.2285714       80.82307692
-117.91 110.7999559       61.30250135       116.9271429       63.44433077
-132.48 112.694337          43.76851786       117.8242857       45.04223077
-146.995               99.8182215          27.15902499       104.5621429       27.65636154
-161.485               75.77208964       13.4589276          79.08642857       13.30150769
-175.975               42.84202179       4.204289056       45.89857143       4.666523077
