#100%                                                           80%                                                            60%                                                                        
#real                           calculated                      real                            calculated                     real                           calculated                            
#trim        draft      lcg     trim        draft      lcg      trim        draft      lcg      trim      draft     lcg        trim      draft      lcg       trim       draft     lcg
2.01        15.60     -14.87    4.19        15.96     -14.92    2.01        13.11     -13.02    2.35      13.07    -13.06      2.02      10.41     -12.32     1.71      10.15    -12.33
1.61        15.62     -14.11    3.55        15.98     -14.17    1.61        13.13     -12.21    1.82      13.09    -12.25      1.61      10.42     -11.39     1.25      10.17    -11.41
1.20        15.65     -13.32    2.90        16.00     -13.38    1.20        13.15     -11.38    1.27      13.10    -11.42      1.21      10.44     -10.49     0.80      10.18    -10.51
0.80        15.67     -12.56    2.26        16.02     -12.61    0.80        13.16     -10.58    0.73      13.12    -10.62      0.80      10.45     -9.60      0.36      10.19     -9.62
0.40        15.70     -11.81    1.63        16.03     -11.86    0.39        13.18      -9.79    0.20      13.14     -9.82      0.41      10.46     -8.74     -0.07      10.20     -8.76
0.00        15.72     -11.04    0.99        16.05     -11.09    0.00        13.20      -9.01   -0.32      13.15     -9.04      0.00      10.47     -7.83     -0.53      10.22     -7.84
-0.41       15.75     -10.27    0.36        16.07     -10.33   -0.40        13.21      -8.25   -0.82      13.16     -8.29     -0.39      10.48     -6.97     -0.96      10.23     -6.99
-0.80       15.77     -9.54    -0.26        16.09      -9.59   -0.80        13.23      -7.47   -1.34      13.18     -7.51     -0.80      10.49     -6.11     -1.39      10.24     -6.12
-1.21       15.79     -8.79    -0.88        16.11      -8.84   -1.21        13.25      -6.71   -1.85      13.19     -6.74     -1.21      10.50     -5.21     -1.84      10.25     -5.22
-1.61       15.81     -8.05    -1.50        16.12      -8.10   -1.61        13.26      -5.96   -2.35      13.21     -6.00     -1.60      10.51     -4.39     -2.25      10.27     -4.40
